,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
77,2022-12-21,156.13459280990483,124.2363209563585,187.9819361349838,156.13459280990483,156.13459280990483,1.9873178664009756,1.9873178664009756,1.9873178664009756,1.9873178664009756,1.9873178664009756,1.9873178664009756,0.0,0.0,0.0,158.12191067630582
78,2022-12-22,155.40658631783793,125.07424187621262,186.41042361171847,155.40658631783793,155.40658631783793,0.8919420425013094,0.8919420425013094,0.8919420425013094,0.8919420425013094,0.8919420425013094,0.8919420425013094,0.0,0.0,0.0,156.29852836033925
79,2022-12-23,154.67857982577104,124.2771765251326,187.62764198493883,154.67857982577104,154.67857982577104,1.8047624686854193,1.8047624686854193,1.8047624686854193,1.8047624686854193,1.8047624686854193,1.8047624686854193,0.0,0.0,0.0,156.48334229445646
80,2022-12-27,151.76655385750354,119.99860258062178,184.7849307400995,151.76655385750354,151.76655385750354,1.58200025789175,1.58200025789175,1.58200025789175,1.58200025789175,1.58200025789175,1.58200025789175,0.0,0.0,0.0,153.3485541153953
81,2022-12-28,151.60196330814227,119.86578219940444,185.70370255496402,151.60196330814227,151.60196330814227,1.9873178664016597,1.9873178664016597,1.9873178664016597,1.9873178664016597,1.9873178664016597,1.9873178664016597,0.0,0.0,0.0,153.58928117454394
82,2022-12-29,151.43737275878104,122.01010409591197,183.3142323555204,151.43737275878104,151.43737275878104,0.8919420425040054,0.8919420425040054,0.8919420425040054,0.8919420425040054,0.8919420425040054,0.8919420425040054,0.0,0.0,0.0,152.32931480128505
83,2022-12-30,151.2727822094198,122.72087366512235,186.22990299151562,151.2727822094198,151.2727822094198,1.8047624686713943,1.8047624686713943,1.8047624686713943,1.8047624686713943,1.8047624686713943,1.8047624686713943,0.0,0.0,0.0,153.0775446780912
84,2023-01-03,150.61442001197477,119.26124708756107,182.24828695034634,150.61442001197477,150.61442001197477,1.582000257892362,1.582000257892362,1.582000257892362,1.582000257892362,1.582000257892362,1.582000257892362,0.0,0.0,0.0,152.19642026986713
85,2023-01-04,150.4498294626135,120.67157442523168,185.4224118689709,150.4498294626135,150.4498294626135,1.987317866400965,1.987317866400965,1.987317866400965,1.987317866400965,1.987317866400965,1.987317866400965,0.0,0.0,0.0,152.43714732901446
86,2023-01-05,150.28523891325224,116.12858133777934,181.65917765097305,150.28523891325224,150.28523891325224,0.8919420424932769,0.8919420424932769,0.8919420424932769,0.8919420424932769,0.8919420424932769,0.8919420424932769,0.0,0.0,0.0,151.1771809557455
87,2023-01-06,150.120648363891,120.57230811634902,187.30114372330175,150.120648363891,150.120648363891,1.8047624686748391,1.8047624686748391,1.8047624686748391,1.8047624686748391,1.8047624686748391,1.8047624686748391,0.0,0.0,0.0,151.92541083256586
88,2023-01-09,149.62687671580724,122.22173540038938,185.34458116102863,149.62687671580724,149.62687671580724,3.0352934955884554,3.0352934955884554,3.0352934955884554,3.0352934955884554,3.0352934955884554,3.0352934955884554,0.0,0.0,0.0,152.6621702113957
89,2023-01-10,149.92859638860065,119.35738671734903,181.25455483245736,149.92859638860065,149.92859638860065,1.5820002578867158,1.5820002578867158,1.5820002578867158,1.5820002578867158,1.5820002578867158,1.5820002578867158,0.0,0.0,0.0,151.51059664648736
90,2023-01-11,150.23031606139406,120.65593636456799,182.78729249100454,150.23031606139406,150.23031606139406,1.98731786640099,1.98731786640099,1.98731786640099,1.98731786640099,1.98731786640099,1.98731786640099,0.0,0.0,0.0,152.21763392779505
91,2023-01-12,150.53203573418747,119.06934854161307,184.25769466028885,150.53203573418747,150.53203573418747,0.8919420425015849,0.8919420425015849,0.8919420425015849,0.8919420425015849,0.8919420425015849,0.8919420425015849,0.0,0.0,0.0,151.42397777668907
92,2023-01-13,150.8337554069809,123.49818058499794,184.0456673800748,150.8337554069809,150.8337554069809,1.8047624686782837,1.8047624686782837,1.8047624686782837,1.8047624686782837,1.8047624686782837,1.8047624686782837,0.0,0.0,0.0,152.6385178756592
93,2023-01-17,152.04063409815458,123.94745983926529,186.3898416408859,152.04063409815458,152.04063409815458,1.5820002578873278,1.5820002578873278,1.5820002578873278,1.5820002578873278,1.5820002578873278,1.5820002578873278,0.0,0.0,0.0,153.6226343560419
94,2023-01-18,152.342353770948,123.0195480355386,186.58785422376988,152.342353770948,152.342353770948,1.9873178664002955,1.9873178664002955,1.9873178664002955,1.9873178664002955,1.9873178664002955,1.9873178664002955,0.0,0.0,0.0,154.3296716373483
95,2023-01-19,152.64407344374143,120.56007641590935,184.4782355948581,152.64407344374143,152.64407344374143,0.8919420424986693,0.8919420424986693,0.8919420424986693,0.8919420424986693,0.8919420424986693,0.8919420424986693,0.0,0.0,0.0,153.5360154862401
96,2023-01-20,152.94579311653484,121.58904843176187,185.06163037528643,152.94579311653484,152.94579311653484,1.804762468672994,1.804762468672994,1.804762468672994,1.804762468672994,1.804762468672994,1.804762468672994,0.0,0.0,0.0,154.75055558520785
97,2023-01-23,154.29276261536103,127.10419274360883,187.05680432352406,154.29276261536103,154.29276261536103,3.035293495579227,3.035293495579227,3.035293495579227,3.035293495579227,3.035293495579227,3.035293495579227,0.0,0.0,0.0,157.32805611094025
98,2023-01-24,154.7417524483031,124.55979405938362,186.55279905308123,154.7417524483031,154.7417524483031,1.5820002578879415,1.5820002578879415,1.5820002578879415,1.5820002578879415,1.5820002578879415,1.5820002578879415,0.0,0.0,0.0,156.32375270619104
99,2023-01-25,155.19074228124518,124.9979522742957,190.1826837075986,155.19074228124518,155.19074228124518,1.9873178664009785,1.9873178664009785,1.9873178664009785,1.9873178664009785,1.9873178664009785,1.9873178664009785,0.0,0.0,0.0,157.17806014764616
100,2023-01-26,155.63973211418724,125.37201225495352,189.5550156720142,155.63973211418724,155.63973211418724,0.8919420425013649,0.8919420425013649,0.8919420425013649,0.8919420425013649,0.8919420425013649,0.8919420425013649,0.0,0.0,0.0,156.5316741566886
101,2023-01-27,156.0887219471293,126.58622715181889,188.90097810091882,156.0887219471293,156.0887219471293,1.8047624686946218,1.8047624686946218,1.8047624686946218,1.8047624686946218,1.8047624686946218,1.8047624686946218,0.0,0.0,0.0,157.89348441582393
102,2023-01-30,157.43569144595554,128.85340940994203,191.91406047527894,157.43569144595554,157.43569144595554,3.035293495577349,3.035293495577349,3.035293495577349,3.035293495577349,3.035293495577349,3.035293495577349,0.0,0.0,0.0,160.4709849415329
103,2023-01-31,157.8846812788976,128.1405041711619,190.17908071492477,157.8846812788976,157.8846812788976,1.5820002578854238,1.5820002578854238,1.5820002578854238,1.5820002578854238,1.5820002578854238,1.5820002578854238,0.0,0.0,0.0,159.46668153678303
104,2023-02-01,158.33367112186073,128.7085942445523,191.7997714090201,158.33367112186073,158.33367112186073,1.9873178664023805,1.9873178664023805,1.9873178664023805,1.9873178664023805,1.9873178664023805,1.9873178664023805,0.0,0.0,0.0,160.3209889882631
105,2023-02-02,158.78266096482392,129.77405895171637,192.97983887938506,158.78266096482392,158.78266096482392,0.8919420425040617,0.8919420425040617,0.8919420425040617,0.8919420425040617,0.8919420425040617,0.8919420425040617,0.0,0.0,0.0,159.674603007328
106,2023-02-03,159.23165080778705,129.5028565950973,193.82762307382222,159.23165080778705,159.23165080778705,1.8047624686805972,1.8047624686805972,1.8047624686805972,1.8047624686805972,1.8047624686805972,1.8047624686805972,0.0,0.0,0.0,161.03641327646764
107,2023-02-06,160.57862033667652,132.37046957167286,196.05908355227697,160.57862033667652,160.57862033667652,3.0352934955824895,3.0352934955824895,3.0352934955824895,3.0352934955824895,3.0352934955824895,3.0352934955824895,0.0,0.0,0.0,163.61391383225902
108,2023-02-07,161.02761017963968,130.37269788812873,194.7381269973519,161.02761017963968,161.02761017963968,1.5820002578959753,1.5820002578959753,1.5820002578959753,1.5820002578959753,1.5820002578959753,1.5820002578959753,0.0,0.0,0.0,162.60961043753565
109,2023-02-08,161.47660002260284,130.75720878951452,193.86288496040146,161.47660002260284,161.47660002260284,1.987317866403064,1.987317866403064,1.987317866403064,1.987317866403064,1.987317866403064,1.987317866403064,0.0,0.0,0.0,163.4639178890059
110,2023-02-09,161.925589865566,131.26072668439718,194.83460468431701,161.925589865566,161.925589865566,0.8919420425067575,0.8919420425067575,0.8919420425067575,0.8919420425067575,0.8919420425067575,0.8919420425067575,0.0,0.0,0.0,162.81753190807277
111,2023-02-10,162.37457970852913,134.32530885751618,196.62578615073014,162.37457970852913,162.37457970852913,1.8047624686840424,1.8047624686840424,1.8047624686840424,1.8047624686840424,1.8047624686840424,1.8047624686840424,0.0,0.0,0.0,164.17934217721316
112,2023-02-13,163.72154923577332,136.19263475809583,199.0276372717033,163.72154923577332,163.72154923577332,3.035293495587629,3.035293495587629,3.035293495587629,3.035293495587629,3.035293495587629,3.035293495587629,0.0,0.0,0.0,166.75684273136096
113,2023-02-14,164.17053907818806,133.29830261042827,194.54292066607562,164.17053907818806,164.17053907818806,1.5820002578871994,1.5820002578871994,1.5820002578871994,1.5820002578871994,1.5820002578871994,1.5820002578871994,0.0,0.0,0.0,165.75253933607524
114,2023-02-15,164.61952892060282,133.2751143144596,198.81275375269206,164.61952892060282,164.61952892060282,1.9873178664009923,1.9873178664009923,1.9873178664009923,1.9873178664009923,1.9873178664009923,1.9873178664009923,0.0,0.0,0.0,166.6068467870038
115,2023-02-16,165.06851876301758,135.0972480695592,197.54756489297162,165.06851876301758,165.06851876301758,0.8919420425038416,0.8919420425038416,0.8919420425038416,0.8919420425038416,0.8919420425038416,0.8919420425038416,0.0,0.0,0.0,165.96046080552142
116,2023-02-17,165.5175086054323,137.3980924367797,199.952413933025,165.5175086054323,165.5175086054323,1.8047624686787522,1.8047624686787522,1.8047624686787522,1.8047624686787522,1.8047624686787522,1.8047624686787522,0.0,0.0,0.0,167.32227107411106
117,2023-02-21,167.31346797509127,138.7063332637093,198.52390059051243,167.31346797509127,167.31346797509127,1.5820002578878114,1.5820002578878114,1.5820002578878114,1.5820002578878114,1.5820002578878114,1.5820002578878114,0.0,0.0,0.0,168.89546823297908
118,2023-02-22,167.76245781750603,139.2338491476672,201.3326784282835,167.76245781750603,167.76245781750603,1.9873178664016753,1.9873178664016753,1.9873178664016753,1.9873178664016753,1.9873178664016753,1.9873178664016753,0.0,0.0,0.0,169.7497756839077
119,2023-02-23,168.21144765992074,136.77574308331245,202.41714885185922,168.21144765992074,168.21144765992074,0.8919420424987248,0.8919420424987248,0.8919420424987248,0.8919420424987248,0.8919420424987248,0.8919420424987248,0.0,0.0,0.0,169.10338970241946
120,2023-02-24,168.66043750173063,139.52161893569948,202.6875409926339,168.66043750173063,168.66043750173063,1.8047624686916457,1.8047624686916457,1.8047624686916457,1.8047624686916457,1.8047624686916457,1.8047624686916457,0.0,0.0,0.0,170.46519997042228
121,2023-02-27,170.00740702716018,141.09461891115583,204.49555842616203,170.00740702716018,170.00740702716018,3.0352934955908903,3.0352934955908903,3.0352934955908903,3.0352934955908903,3.0352934955908903,3.0352934955908903,0.0,0.0,0.0,173.04270052275106
122,2023-02-28,170.45639686897013,139.96017180107623,203.06904537482873,170.45639686897013,170.45639686897013,1.5820002578952328,1.5820002578952328,1.5820002578952328,1.5820002578952328,1.5820002578952328,1.5820002578952328,0.0,0.0,0.0,172.03839712686536
123,2023-03-01,170.90538671077996,140.0174515572718,203.67032399185337,170.90538671077996,170.90538671077996,1.9873178664023592,1.9873178664023592,1.9873178664023592,1.9873178664023592,1.9873178664023592,1.9873178664023592,0.0,0.0,0.0,172.89270457718231
124,2023-03-02,171.35437655258983,140.03566979486303,201.8151653622391,171.35437655258983,171.35437655258983,0.8919420424958089,0.8919420424958089,0.8919420424958089,0.8919420424958089,0.8919420424958089,0.8919420424958089,0.0,0.0,0.0,172.24631859508563
125,2023-03-03,171.8033663943997,141.26255995364514,205.99653853293174,171.8033663943997,171.8033663943997,1.804762468686356,1.804762468686356,1.804762468686356,1.804762468686356,1.804762468686356,1.804762468686356,0.0,0.0,0.0,173.60812886308605
