Date,Close,yhat
12/7/2022,174.04,170.92
12/8/2022,173.44,168.73
12/9/2022,179.05,168.54
12/12/2022,167.82,166.47
12/13/2022,160.95,163.91
12/14/2022,156.8,163.22
12/15/2022,157.67,161.39
12/16/2022,150.23,161.58
12/19/2022,149.87,160.63
12/20/2022,137.8,158.44
12/21/2022,137.57,158.12
12/22/2022,125.35,156.30
12/23/2022,123.15,156.48
12/27/2022,109.1,153.35
12/28/2022,112.71,153.59
12/29/2022,121.82,152.33
12/30/2022,123.18,153.08
1/3/2023,108.1,152.20
1/4/2023,113.64,152.44
1/5/2023,110.34,151.18
1/6/2023,113.06,151.93
1/9/2023,119.77,152.66
1/10/2023,118.85,151.51
1/11/2023,123.22,152.22
1/12/2023,123.56,151.42
1/13/2023,122.4,152.64
1/17/2023,131.49,153.62
1/18/2023,128.78,154.33
1/19/2023,127.17,153.54
1/20/2023,133.42,154.75
1/23/2023,143.75,157.33
1/24/2023,143.89,156.32
1/25/2023,144.43,157.18
1/26/2023,160.27,156.53
1/27/2023,177.9,157.89
1/30/2023,166.66,160.47
1/31/2023,173.22,159.47
2/1/2023,181.41,160.32
2/2/2023,188.27,159.67
2/3/2023,189.98,161.04
2/6/2023,194.76,163.61
2/7/2023,196.81,162.61
2/8/2023,201.29,163.46
2/9/2023,207.32,162.82
2/10/2023,196.89,164.18
2/13/2023,194.64,166.76
2/14/2023,209.25,165.75
2/15/2023,214.24,166.61
2/16/2023,202.04,165.96
2/17/2023,208.31,167.32
2/21/2023,197.37,168.90
2/22/2023,200.86,169.75
2/23/2023,202.07,169.10
2/24/2023,196.88,170.47
2/27/2023,207.63,173.04
2/28/2023,205.71,172.04
3/1/2023,202.77,172.89
3/2/2023,190.9,172.25
3/3/2023,197.79,173.61
3/6/2023,193.81,176.19
3/7/2023,187.71,175.18
3/8/2023,182,176.04
3/9/2023,172.92,175.39
3/10/2023,173.44,176.75
3/13/2023,174.48,179.33
3/14/2023,183.26,178.32
3/15/2023,180.45,179.18
3/16/2023,184.13,178.53
3/17/2023,180.13,179.89
3/20/2023,183.25,182.47
3/21/2023,197.58,181.47
3/22/2023,191.15,182.32
3/23/2023,192.22,181.68
3/24/2023,190.41,183.04
3/27/2023,191.81,185.61
3/28/2023,189.19,184.61
3/29/2023,193.88,185.46
3/30/2023,195.28,184.82
3/31/2023,207.46,186.18
4/3/2023,194.77,188.76
4/4/2023,192.58,187.75
4/5/2023,185.52,188.61
4/6/2023,185.06,187.96
4/10/2023,184.51,191.90
4/11/2023,186.79,190.90
4/12/2023,180.54,191.77
4/13/2023,185.9,191.15
4/14/2023,185,192.53
4/17/2023,187.04,195.17
4/18/2023,184.31,194.19
4/19/2023,180.59,195.06
4/20/2023,162.99,194.44
4/21/2023,165.08,195.82
4/24/2023,162.55,198.52
4/25/2023,160.67,197.56
4/26/2023,153.75,198.45
4/27/2023,160.19,197.85
4/28/2023,164.31,199.25
5/1/2023,161.83,201.95
5/2/2023,160.31,200.99
5/3/2023,160.61,201.88
5/4/2023,161.2,201.32
5/5/2023,170.06,202.77
5/8/2023,171.79,205.60
5/9/2023,169.15,204.68
5/10/2023,168.54,205.62
5/11/2023,172.08,205.06
5/12/2023,167.98,206.51
5/15/2023,166.35,209.34
5/16/2023,166.52,208.43
5/17/2023,173.86,209.38
5/18/2023,176.89,208.83
5/19/2023,180.14,210.28
5/22/2023,188.87,213.14
5/23/2023,185.77,212.23
5/24/2023,182.9,213.18
5/25/2023,184.47,212.63
5/26/2023,193.17,214.09
5/30/2023,201.16,216.04
5/31/2023,203.93,216.99
6/1/2023,207.52,216.43
6/2/2023,213.97,217.89
6/5/2023,217.61,220.75
6/6/2023,221.31,219.84
6/7/2023,224.57,220.79
6/8/2023,234.86,220.24
6/9/2023,244.4,221.69
6/12/2023,249.83,224.55
6/13/2023,258.71,223.65
6/14/2023,256.79,224.59
6/15/2023,255.9,224.04
6/16/2023,260.54,225.50
6/20/2023,274.45,227.45
6/21/2023,259.46,228.40
6/22/2023,264.61,227.85
6/23/2023,256.6,229.30
6/26/2023,241.05,232.16
6/27/2023,250.21,231.25
6/28/2023,256.24,232.20
6/29/2023,257.5,231.65
6/30/2023,261.77,233.11
7/3/2023,279.82,235.97
7/5/2023,282.48,236.00
7/6/2023,276.54,235.45
7/7/2023,274.43,236.91
7/10/2023,269.61,239.77
7/11/2023,269.79,238.86
7/12/2023,271.99,239.81
7/13/2023,277.9,239.26
7/14/2023,281.38,240.71
7/17/2023,290.38,243.57
7/18/2023,293.34,242.66
7/19/2023,291.26,243.61
7/20/2023,262.9,243.06
7/21/2023,260.02,244.52
7/24/2023,269.06,247.38
7/25/2023,265.28,246.47
